Gene ID	Product Description	Gene Type	Input ID	# TM Domains	EC numbers	EC numbers from OrthoMCL	
Tb927.6.340	receptor-type adenylate cyclase GRESAG 4, pseudogene, putative	pseudogene	Tb927.6.340	0	N/A	N/A	
Tb927.6.3400	hypothetical protein, conserved	protein coding gene	Tb927.6.3400	0	N/A	N/A	
Tb927.6.3410	hypothetical protein, conserved	protein coding gene	Tb927.6.3410	0	N/A	N/A	
Tb927.6.3420	Mitoribosomal LSU assembly factor 9	protein coding gene	Tb927.6.3420	0	N/A	N/A	
Tb927.6.3430	Serine/threonine-protein kinase NEK10, putative	protein coding gene	Tb927.6.3430	0	N/A	2.7.-.- (Transferring phosphorus-containing groups.);2.7.1.37 (2.7.11.12, 2.7.11.13, 2.7.11.21, 2.7.11.22, 2.7.11.24, 2.7.11.25,2.7.11.30 and 2.7.12.1);2.7.11.1 (Non-specific serine/threonine protein kinase)	
Tb927.6.3440	NUDIX hydrolase domain-like domain-containing protein	protein coding gene	Tb927.6.3440	0	N/A	3.6.1.45 (UDP-sugar diphosphatase)	
Tb927.6.3450	hypothetical protein, conserved	protein coding gene	Tb927.6.3450	0	N/A	N/A	
Tb927.6.3460	hypothetical protein, conserved	protein coding gene	Tb927.6.3460	0	N/A	N/A	
Tb927.6.3470	hypothetical protein, conserved	protein coding gene	Tb927.6.3470	0	N/A	N/A	
Tb927.6.3480	RNA-binding protein, putative	protein coding gene	Tb927.6.3480	0	N/A	N/A	
Tb927.6.3490	zinc finger protein 1	protein coding gene	Tb927.6.3490	0	N/A	N/A	
Tb927.6.350	hypothetical protein, conserved	protein coding gene	Tb927.6.350	0	N/A	N/A	
Tb927.6.3500	endosomal trafficking protein RME-8, putative	protein coding gene	Tb927.6.3500	0	N/A	N/A	
Tb927.6.3510	tRNA modification enzyme, putative	protein coding gene	Tb927.6.3510	1	2.8.4.5 (tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase)	1.3.1.74 (2-alkenal reductase (NAD(P)(+)));1.8.-.- (Acting on a sulfur group of donors.);2.8.4.5 (tRNA (N(6)-L-threonylcarbamoyladenosine(37)-C(2))-methylthiotransferase)	
Tb927.6.3520	Uncharacterised ACR, YagE family COG1723, putative	protein coding gene	Tb927.6.3520	1	N/A	N/A	
Tb927.6.3530	hypothetical protein, conserved	protein coding gene	Tb927.6.3530	0	N/A	N/A	
Tb927.6.3540	zinc-finger protein, conserved	protein coding gene	Tb927.6.3540	0	N/A	N/A	
Tb927.6.3550	phospholipid-translocating P-type ATPase (flippase), putative	protein coding gene	Tb927.6.3550	7	3.6.3.1 (Transferred entry: 7.6.2.1);7.6.2.1 (P-type phospholipid transporter)	3.6.3.1 (Transferred entry: 7.6.2.1);7.6.2.1 (P-type phospholipid transporter)	
Tb927.6.3560	hypothetical protein, conserved	protein coding gene	Tb927.6.3560	0	N/A	N/A	
Tb927.6.3570	tubulin-tyrosine ligase-like protein, conserved	protein coding gene	Tb927.6.3570	0	N/A	N/A	
Tb927.6.3580	ATP-dependent DEAD/H DNA helicase recQ, putative	protein coding gene	Tb927.6.3580	0	3.6.1.- (In phosphorus-containing anhydrides.)	3.6.-.- (Acting on acid anhydrides.);3.6.1.- (In phosphorus-containing anhydrides.);3.6.4.12 (DNA helicase)	
Tb927.6.3590	hypothetical protein, conserved	protein coding gene	Tb927.6.3590	0	N/A	N/A	
Tb927.6.360	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative	pseudogene	Tb927.6.360	0	N/A	N/A	
Tb927.6.3600	Mitoribosomal LSU assembly factor 24	protein coding gene	Tb927.6.3600	0	N/A	N/A	
Tb927.6.3610	SET domain containing protein, putative	protein coding gene	Tb927.6.3610	0	N/A	N/A	
Tb927.6.3620	zinc finger protein, putative	protein coding gene	Tb927.6.3620	0	N/A	N/A	
Tb927.6.3630	Sphingosine-1-phosphate lyase	protein coding gene	Tb927.6.3630	0	4.1.2.27 (Sphinganine-1-phosphate aldolase)	4.1.1.15 (Glutamate decarboxylase);4.1.2.27 (Sphinganine-1-phosphate aldolase)	
Tb927.6.3640	zinc finger of C3HC4-type, RING/B-box zinc finger, putative	protein coding gene	Tb927.6.3640	0	N/A	N/A	
Tb927.6.3650	ADP-ribosylation factor-like protein 3C, putative	protein coding gene	Tb927.6.3650	0	N/A	N/A	
Tb927.6.3660	hypothetical protein, conserved	protein coding gene	Tb927.6.3660	0	N/A	N/A	
Tb927.6.3670	paraflagellar rod component, putative	protein coding gene	Tb927.6.3670	0	N/A	N/A	
Tb927.6.3680	Present in the outer mitochondrial membrane proteome 31	protein coding gene	Tb927.6.3680	3	N/A	N/A	
Tb927.6.3690	pre-mRNA cleavage complex II Clp1-like, conserved	protein coding gene	Tb927.6.3690	0	N/A	2.7.1.78 (Polynucleotide 5'-hydroxyl-kinase)	
Tb927.6.370	hypothetical protein, conserved	protein coding gene	Tb927.6.370	2	N/A	N/A	
Tb927.6.3700	peptidyl-tRNA hydrolase PTH2, putative	protein coding gene	Tb927.6.3700	1	3.1.1.29 (Aminoacyl-tRNA hydrolase)	3.1.1.29 (Aminoacyl-tRNA hydrolase)	
Tb927.6.3710	hypothetical protein, conserved	protein coding gene	Tb927.6.3710	0	N/A	N/A	
Tb927.6.3720	hypothetical protein, conserved	protein coding gene	Tb927.6.3720	0	N/A	N/A	
Tb927.6.3730	chaperone protein DnaJ, putative	protein coding gene	Tb927.6.3730	1	N/A	N/A	
Tb927.6.3740	heat shock 70 kDa protein, mitochondrial precursor, putative	protein coding gene	Tb927.6.3740	0	N/A	1.2.1.41 (Glutamate-5-semialdehyde dehydrogenase);1.3.1.74 (2-alkenal reductase (NAD(P)(+)));2.1.1.- (Methyltransferases.);2.4.2.- (Pentosyltransferases.);2.7.2.11 (Glutamate 5-kinase);3.6.1.3 (Deleted entry)	
Tb927.6.3750	heat shock 70 kDa protein, mitochondrial precursor, putative	protein coding gene	Tb927.6.3750	0	N/A	1.2.1.41 (Glutamate-5-semialdehyde dehydrogenase);1.3.1.74 (2-alkenal reductase (NAD(P)(+)));2.1.1.- (Methyltransferases.);2.4.2.- (Pentosyltransferases.);2.7.2.11 (Glutamate 5-kinase);3.6.1.3 (Deleted entry)	
Tb927.6.3760	kinetoplastid kinetochore protein 15	protein coding gene	Tb927.6.3760	0	N/A	N/A	
Tb927.6.3770	hypothetical protein, conserved	protein coding gene	Tb927.6.3770	3	N/A	N/A	
Tb927.6.3780	E3 ubiquitin-protein ligase, putative	protein coding gene	Tb927.6.3780	0	N/A	2.3.2.31 (RBR-type E3 ubiquitin transferase)	
Tb927.6.3790	valosin-containing protein homolog, putative	protein coding gene	Tb927.6.3790	0	N/A	3.6.4.10 (Non-chaperonin molecular chaperone ATPase)	
Tb927.6.380	hypothetical protein, conserved	protein coding gene	Tb927.6.380	2	N/A	N/A	
Tb927.6.3800	heat shock 70 kDa protein, mitochondrial precursor, putative	protein coding gene	Tb927.6.3800	0	N/A	1.2.1.41 (Glutamate-5-semialdehyde dehydrogenase);1.3.1.74 (2-alkenal reductase (NAD(P)(+)));2.1.1.- (Methyltransferases.);2.4.2.- (Pentosyltransferases.);2.7.2.11 (Glutamate 5-kinase);3.6.1.3 (Deleted entry)	
Tb927.6.3810	hypothetical protein, conserved	protein coding gene	Tb927.6.3810	1	N/A	N/A	
Tb927.6.3820	hypothetical protein, conserved	protein coding gene	Tb927.6.3820	0	N/A	N/A	
Tb927.6.3830	hypothetical protein, conserved	protein coding gene	Tb927.6.3830	0	N/A	N/A	
Tb927.6.3840	reticulon domain protein	protein coding gene	Tb927.6.3840	3	N/A	N/A	
Tb927.6.3850	chaperone protein DnaJ, putative	protein coding gene	Tb927.6.3850	0	N/A	N/A	
Tb927.6.3860	leucyl/phenylalanyl-tRNA protein transferase, putative	protein coding gene	Tb927.6.3860	0	N/A	N/A	
Tb927.6.3870	RNA-binding protein, putative	protein coding gene	Tb927.6.3870	0	N/A	N/A	
Tb927.6.3880	hypothetical protein, conserved	protein coding gene	Tb927.6.3880	0	N/A	N/A	
Tb927.6.3890	replication factor C, subunit 2, putative	protein coding gene	Tb927.6.3890	0	N/A	2.7.7.7 (DNA-directed DNA polymerase)	
Tb927.6.390	adenylyl cyclase, pseudogene, putative	pseudogene	Tb927.6.390	0	N/A	N/A	
Tb927.6.3900	hypothetical protein, conserved	protein coding gene	Tb927.6.3900	0	N/A	N/A	
Tb927.6.3910	hypothetical protein, conserved	protein coding gene	Tb927.6.3910	0	N/A	N/A	
Tb927.6.3920	hypothetical protein, conserved	protein coding gene	Tb927.6.3920	0	N/A	N/A	
Tb927.6.3930	LSU ribosomal protein, mitochondrial, putative	protein coding gene	Tb927.6.3930	0	N/A	N/A	
Tb927.6.3940	Autophagy-related protein 27, putative	protein coding gene	Tb927.6.3940	3	N/A	N/A	
Tb927.6.3950	hypothetical protein, conserved	protein coding gene	Tb927.6.3950	0	N/A	N/A	
Tb927.6.3960	Nucleotide sugar transporter 4	protein coding gene	Tb927.6.3960	8	N/A	N/A	
Tb927.6.3970	SH3 domain protein, conserved	protein coding gene	Tb927.6.3970	0	N/A	N/A	
Tb927.6.3980	hypothetical protein, conserved	protein coding gene	Tb927.6.3980	0	N/A	N/A	
Tb927.6.3990	hypothetical protein, conserved	protein coding gene	Tb927.6.3990	0	N/A	N/A	
Tb927.6.400	peptidase M20/M25/M40, putative	protein coding gene	Tb927.6.400	0	N/A	1.8.1.4 (Dihydrolipoyl dehydrogenase);3.4.13.- (Dipeptidases.);3.5.1.- (In linear amides.);3.5.1.16 (Acetylornithine deacetylase);3.5.1.18 (Succinyl-diaminopimelate desuccinylase)	
Tb927.6.4000	small glutamine-rich tetratricopeptide repeat protein, putative	protein coding gene	Tb927.6.4000	0	N/A	3.2.1.11 (Dextranase);5.4.99.5 (Chorismate mutase)	
Tb927.6.4010	Translation machinery associated TMA7, putative	protein coding gene	Tb927.6.4010	0	N/A	3.6.1.- (In phosphorus-containing anhydrides.)	
Tb927.6.4020	hypothetical protein, conserved	protein coding gene	Tb927.6.4020	0	N/A	N/A	
Tb927.6.4030	superoxide dismutase, putative	protein coding gene	Tb927.6.4030	0	1.15.1.1 (Superoxide dismutase)	1.15.1.1 (Superoxide dismutase)	
Tb927.6.4040	mitochondrial ribosomal protein L28	protein coding gene	Tb927.6.4040	0	N/A	N/A	
Tb927.6.4050	zinc finger ccch domain-containing protein 14	protein coding gene	Tb927.6.4050	0	N/A	N/A	
Tb927.6.4060	Eukaryotic protein of unknown function (DUF872), putative	protein coding gene	Tb927.6.4060	2	N/A	N/A	
Tb927.6.4070	hypothetical protein, conserved	protein coding gene	Tb927.6.4070	0	N/A	N/A	
Tb927.6.4080	ribosomal protein, putative	protein coding gene	Tb927.6.4080	0	N/A	N/A	
Tb927.6.4090	chaperonin HSP60, mitochondrial precursor, putative	protein coding gene	Tb927.6.4090	0	N/A	N/A	
Tb927.6.410	hypothetical protein, conserved	protein coding gene	Tb927.6.410	0	N/A	N/A	
Tb927.6.4100	hypothetical protein, conserved	protein coding gene	Tb927.6.4100	0	N/A	N/A	
Tb927.6.4120	GTPase activating protein, putative	protein coding gene	Tb927.6.4120	0	N/A	N/A	
Tb927.6.4130	succinate dehydrogenase subunit 3	protein coding gene	Tb927.6.4130	0	N/A	N/A	
Tb927.6.4140	paraflagellar rod component, putative	protein coding gene	Tb927.6.4140	0	N/A	N/A	
Tb927.6.4150	hypothetical protein, conserved	protein coding gene	Tb927.6.4150	0	N/A	N/A	
Tb927.6.4160	hypothetical protein, conserved	protein coding gene	Tb927.6.4160	0	N/A	N/A	
Tb927.6.4170	hypothetical protein, conserved	protein coding gene	Tb927.6.4170	0	N/A	N/A	
Tb927.6.4180	FUN14 family, putative	protein coding gene	Tb927.6.4180	2	N/A	N/A	
Tb927.6.4190	Pentatricopeptide repeat protein (PPR), putative	protein coding gene	Tb927.6.4190	0	N/A	N/A	
Tb927.6.4200	LSU ribosomal protein, mitochondrial, putative	protein coding gene	Tb927.6.4200	0	N/A	N/A	
Tb927.6.4210	aldehyde dehydrogenase, putative	protein coding gene	Tb927.6.4210	0	1.2.1.3 (Aldehyde dehydrogenase (NAD(+)))	1.2.1.16 (Succinate-semialdehyde dehydrogenase (NAD(P)(+)));1.2.1.3 (Aldehyde dehydrogenase (NAD(+)));1.2.1.39 (Phenylacetaldehyde dehydrogenase);1.2.1.9 (Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)))	
Tb927.6.4220	mitogen-activated protein kinase 5	protein coding gene	Tb927.6.4220	0	2.7.1.- (Phosphotransferases with an alcohol group as acceptor.)	2.7.1.- (Phosphotransferases with an alcohol group as acceptor.);2.7.1.37 (2.7.11.12, 2.7.11.13, 2.7.11.21, 2.7.11.22, 2.7.11.24, 2.7.11.25,2.7.11.30 and 2.7.12.1);2.7.11.- (Protein-serine/threonine kinases.);2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.24 (Mitogen-activated protei	
Tb927.6.4230	hypothetical protein, conserved	protein coding gene	Tb927.6.4230	0	N/A	N/A	
Tb927.6.4240	hypothetical protein, conserved	protein coding gene	Tb927.6.4240	0	N/A	N/A	
Tb927.6.4250	hypothetical protein, conserved	protein coding gene	Tb927.6.4250	0	N/A	N/A	
Tb927.6.4260	hypothetical protein, conserved	protein coding gene	Tb927.6.4260	1	N/A	N/A	
Tb927.6.4270	hypothetical protein, conserved	protein coding gene	Tb927.6.4270	0	N/A	N/A	
Tb927.6.4280	glyceraldehyde 3-phosphate dehydrogenase, glycosomal	protein coding gene	Tb927.6.4280	0	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating));1.2.1.13 (Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating));1.2.1.59 (Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating));2.7.1.105 (6-phosphofructo-2-kinase);3.1.3.46 (Fructose-2,6-bisphosp	
Tb927.6.4290	hypothetical protein, conserved (pseudogene)	pseudogene	Tb927.6.4290	0	N/A	N/A	
Tb927.6.430	receptor-type adenylate cyclase GRESAG 4, putative	protein coding gene	Tb927.6.430	1	4.6.1.1 (Adenylate cyclase)	4.6.1.1 (Adenylate cyclase)	
Tb927.6.4300	glyceraldehyde 3-phosphate dehydrogenase, glycosomal	protein coding gene	Tb927.6.4300	0	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating))	1.2.1.12 (Glyceraldehyde-3-phosphate dehydrogenase (phosphorylating));1.2.1.13 (Glyceraldehyde-3-phosphate dehydrogenase (NADP(+)) (phosphorylating));1.2.1.59 (Glyceraldehyde-3-phosphate dehydrogenase (NAD(P)(+)) (phosphorylating));2.7.1.105 (6-phosphofructo-2-kinase);3.1.3.46 (Fructose-2,6-bisphosp	
Tb927.6.4310	hypothetical protein, conserved	protein coding gene	Tb927.6.4310	0	N/A	N/A	
Tb927.6.4320	Protein of unknown function (DUF2817), putative	protein coding gene	Tb927.6.4320	1	N/A	N/A	
Tb927.6.4330	telomere-associated protein	protein coding gene	Tb927.6.4330	0	N/A	N/A	
Tb927.6.4340	small nuclear ribonucleoprotein, putative	protein coding gene	Tb927.6.4340	0	N/A	N/A	
Tb927.6.4350	ribosomal RNA assembly protein, putative	protein coding gene	Tb927.6.4350	0	N/A	N/A	
Tb927.6.4360	hypothetical protein, conserved	protein coding gene	Tb927.6.4360	0	N/A	N/A	
Tb927.6.4370	eukaryotic translation initiation factor 3 subunit d	protein coding gene	Tb927.6.4370	0	N/A	N/A	
Tb927.6.4380	Protein of unknown function (DUF544), putative	protein coding gene	Tb927.6.4380	0	N/A	3.4.19.12 (Ubiquitinyl hydrolase 1)	
Tb927.6.4390	kinesin, putative	protein coding gene	Tb927.6.4390	0	N/A	3.6.4.4 (Transferred entry: 5.6.1.3)	
Tb927.6.440	haptoglobin-hemoglobin receptor	protein coding gene	Tb927.6.440	0	N/A	N/A	
Tb927.6.4400	Pentatricopeptide repeat protein (PPR), putative	protein coding gene	Tb927.6.4400	0	N/A	N/A	
Tb927.6.4410	S-adenosylmethionine decarboxylase	protein coding gene	Tb927.6.4410	0	4.1.1.50 (Adenosylmethionine decarboxylase)	4.1.1.50 (Adenosylmethionine decarboxylase)	
Tb927.6.4420	tRNA (Guanine-1)-methyltransferase, putative	protein coding gene	Tb927.6.4420	0	2.1.1.221 (tRNA (guanine(9)-N(1))-methyltransferase)	2.1.1.221 (tRNA (guanine(9)-N(1))-methyltransferase);2.1.1.31 (Transferred entry: 2.1.1.221 and 2.1.1.228)	
Tb927.6.4430	homoserine kinase	protein coding gene	Tb927.6.4430	0	2.7.1.39 (Homoserine kinase)	2.7.1.39 (Homoserine kinase)	
Tb927.6.4440	RNA-binding protein 42 (RNA-binding motif protein 42)	protein coding gene	Tb927.6.4440	0	N/A	N/A	
Tb927.6.4450	Pentatricopeptide repeat protein (PPR), putative	protein coding gene	Tb927.6.4450	0	N/A	N/A	
Tb927.6.4460	S-adenosylmethionine decarboxylase	protein coding gene	Tb927.6.4460	0	4.1.1.50 (Adenosylmethionine decarboxylase)	4.1.1.50 (Adenosylmethionine decarboxylase)	
Tb927.6.4470	S-adenosylmethionine decarboxylase proenzyme	protein coding gene	Tb927.6.4470	0	4.1.1.50 (Adenosylmethionine decarboxylase)	4.1.1.50 (Adenosylmethionine decarboxylase)	
Tb927.6.4480	valyl-tRNA synthetase, putative	protein coding gene	Tb927.6.4480	0	6.1.1.9 (Valine--tRNA ligase)	3.1.1.1 (Carboxylesterase);6.1.1.9 (Valine--tRNA ligase)	
Tb927.6.4490	hypothetical protein, conserved	protein coding gene	Tb927.6.4490	0	N/A	N/A	
Tb927.6.450	procyclin PARP A	protein coding gene	Tb927.6.450	1	N/A	N/A	
Tb927.6.4500	conserved repeat domain containing protein, putative	protein coding gene	Tb927.6.4500	1	N/A	N/A	
Tb927.6.4510	hypothetical protein, conserved	protein coding gene	Tb927.6.4510	0	N/A	N/A	
Tb927.6.4520	Tumour suppressor, Mitostatin, putative	protein coding gene	Tb927.6.4520	0	N/A	N/A	
Tb927.6.4530	RNA-binding protein, putative	protein coding gene	Tb927.6.4530	0	N/A	N/A	
Tb927.6.4540	3-hydroxy-3-methylglutaryl-CoA reductase, putative	protein coding gene	Tb927.6.4540	1	1.1.1.34 (Hydroxymethylglutaryl-CoA reductase (NADPH))	1.1.1.34 (Hydroxymethylglutaryl-CoA reductase (NADPH))	
Tb927.6.4550	hypothetical protein, conserved	protein coding gene	Tb927.6.4550	0	N/A	N/A	
Tb927.6.4560	Mitochondrial SSU ribosomal protein, putative	protein coding gene	Tb927.6.4560	0	N/A	N/A	
Tb927.6.4570	hypothetical protein, conserved	protein coding gene	Tb927.6.4570	1	N/A	N/A	
Tb927.6.4580	Mitochondrial SSU ribosomal protein, putative	protein coding gene	Tb927.6.4580	0	N/A	N/A	
Tb927.6.4590	glutamyl-tRNA synthetase, putative	protein coding gene	Tb927.6.4590	0	6.1.1.17 (Glutamate--tRNA ligase)	6.1.1.17 (Glutamate--tRNA ligase);6.1.1.18 (Glutamine--tRNA ligase)	
Tb927.6.460	procyclin associated gene 3 (PAG3) protein	protein coding gene	Tb927.6.460	1	N/A	N/A	
Tb927.6.4600	pre-mRNA splicing factor ATP-dependent RNA helicase, putative	protein coding gene	Tb927.6.4600	0	N/A	3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.1.3 (Deleted entry);3.6.4.13 (RNA helicase)	
Tb927.6.4610	Ankyrin repeats (3 copies), putative	protein coding gene	Tb927.6.4610	0	N/A	4.1.3.3 (N-acetylneuraminate lyase)	
Tb927.6.4620	hypothetical protein, conserved	protein coding gene	Tb927.6.4620	2	N/A	N/A	
Tb927.6.4630	kinetoplastid-specific phospho-protein phosphatase, putative	protein coding gene	Tb927.6.4630	1	N/A	N/A	
Tb927.6.4640	hypothetical protein, conserved	protein coding gene	Tb927.6.4640	0	N/A	N/A	
Tb927.6.4650	UV excision repair RAD23 protein, putative	protein coding gene	Tb927.6.4650	0	N/A	N/A	
Tb927.6.4660	cationic amino acid transporter, putative	protein coding gene	Tb927.6.4660	11	N/A	N/A	
Tb927.6.4670	MORN repeat-containing protein 1	protein coding gene	Tb927.6.4670	0	N/A	2.7.1.68 (1-phosphatidylinositol-4-phosphate 5-kinase)	
Tb927.6.4680	hypothetical protein, conserved	protein coding gene	Tb927.6.4680	0	N/A	N/A	
Tb927.6.4690	60S ribosomal protein L9, putative	protein coding gene	Tb927.6.4690	0	N/A	N/A	
Tb927.6.470	gene related to expression site-associated gene 2 (GRESAG2), putative	protein coding gene	Tb927.6.470	0	N/A	N/A	
Tb927.6.4700	hypothetical protein, conserved	protein coding gene	Tb927.6.4700	0	N/A	N/A	
Tb927.6.4710	calmodulin, putative	protein coding gene	Tb927.6.4710	0	N/A	N/A	
Tb927.6.4720	zinc finger CCCH domain-containing protein 15	protein coding gene	Tb927.6.4720	0	N/A	N/A	
Tb927.6.4730	hypothetical protein	protein coding gene	Tb927.6.4730	4	N/A	N/A	
Tb927.6.4740	importin-alpha re-exporter protein, putative	protein coding gene	Tb927.6.4740	0	N/A	N/A	
Tb927.6.4750	hypothetical protein, conserved	protein coding gene	Tb927.6.4750	0	N/A	N/A	
Tb927.6.4760	T-complex protein 11, putative	protein coding gene	Tb927.6.4760	0	N/A	N/A	
Tb927.6.4770	protein mkt1, putative	protein coding gene	Tb927.6.4770	0	N/A	N/A	
Tb927.6.4780	DNA ligase I, putative	protein coding gene	Tb927.6.4780	1	6.5.1.1 (DNA ligase (ATP))	1.4.1.2 (Glutamate dehydrogenase);2.1.3.2 (Aspartate carbamoyltransferase);6.5.1.1 (DNA ligase (ATP))	
Tb927.6.4790	hypothetical protein, conserved	protein coding gene	Tb927.6.4790	0	N/A	N/A	
Tb927.6.480	surface protein EP3-2 procyclin precursor	protein coding gene	Tb927.6.480	1	N/A	N/A	
Tb927.6.4800	hypothetical protein, conserved	protein coding gene	Tb927.6.4800	0	N/A	N/A	
Tb927.6.4810	zinc-binding protein (Yippee), putative	protein coding gene	Tb927.6.4810	0	N/A	N/A	
Tb927.6.4820	chromosomal passenger complex protein 1	protein coding gene	Tb927.6.4820	0	N/A	N/A	
Tb927.6.4830	MIZ/SP-RING zinc finger, putative	protein coding gene	Tb927.6.4830	0	N/A	N/A	
Tb927.6.4840	S-adenosylmethionine synthetase	protein coding gene	Tb927.6.4840	0	2.5.1.6 (Methionine adenosyltransferase)	2.5.1.6 (Methionine adenosyltransferase)	
Tb927.6.4850	S-adenosylmethionine synthetase	protein coding gene	Tb927.6.4850	0	2.5.1.6 (Methionine adenosyltransferase)	2.5.1.6 (Methionine adenosyltransferase)	
Tb927.6.4860	S-adenosylmethionine synthetase	protein coding gene	Tb927.6.4860	0	2.5.1.6 (Methionine adenosyltransferase)	2.5.1.6 (Methionine adenosyltransferase)	
Tb927.6.4870	S-adenosylmethionine synthetase	protein coding gene	Tb927.6.4870	0	2.5.1.6 (Methionine adenosyltransferase)	2.5.1.6 (Methionine adenosyltransferase)	
Tb927.6.4880	S-adenosylmethionine synthetase	protein coding gene	Tb927.6.4880	0	2.5.1.6 (Methionine adenosyltransferase)	2.5.1.6 (Methionine adenosyltransferase)	
Tb927.6.4890	S-adenosylmethionine synthetase	protein coding gene	Tb927.6.4890	0	2.5.1.6 (Methionine adenosyltransferase)	2.5.1.6 (Methionine adenosyltransferase)	
Tb927.6.490	procyclin associated gene 3 (PAG3) protein	protein coding gene	Tb927.6.490	1	N/A	N/A	
Tb927.6.4900	S-adenosylmethionine synthetase	protein coding gene	Tb927.6.4900	0	2.5.1.6 (Methionine adenosyltransferase)	2.5.1.6 (Methionine adenosyltransferase)	
Tb927.6.4910	S-adenosylmethionine synthetase	protein coding gene	Tb927.6.4910	0	2.5.1.6 (Methionine adenosyltransferase)	2.5.1.6 (Methionine adenosyltransferase)	
Tb927.6.4920	S-adenosylmethionine synthetase	protein coding gene	Tb927.6.4920	0	2.5.1.6 (Methionine adenosyltransferase)	2.5.1.6 (Methionine adenosyltransferase)	
Tb927.6.4930	thiosulfate sulfurtransferase, mitochondrial, putative	protein coding gene	Tb927.6.4930	0	2.8.1.1 (Thiosulfate sulfurtransferase)	2.8.1.1 (Thiosulfate sulfurtransferase)	
Tb927.6.4940	RF-1 domain containing protein, putative	protein coding gene	Tb927.6.4940	0	N/A	N/A	
Tb927.6.4950	Protein mago nashi homolog	protein coding gene	Tb927.6.4950	0	N/A	N/A	
Tb927.6.4960	Zinc finger CCCH domain-containing protein 47	protein coding gene	Tb927.6.4960	0	N/A	N/A	
Tb927.6.4970	serine/arginine-rich protein specific kinase SRPK, putative	protein coding gene	Tb927.6.4970	0	N/A	2.7.1.37 (2.7.11.12, 2.7.11.13, 2.7.11.21, 2.7.11.22, 2.7.11.24, 2.7.11.25,2.7.11.30 and 2.7.12.1);2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.24 (Mitogen-activated protein kinase);2.7.12.1 (Dual-specificity kinase)	
Tb927.6.4980	40S ribosomal protein S14	protein coding gene	Tb927.6.4980	0	N/A	N/A	
Tb927.6.4990	mitochondrial ATP synthase delta chain	protein coding gene	Tb927.6.4990	0	3.6.3.- (Acting on acid anhydrides; catalyzing transmembrane movement of substances.)	3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.1.3 (Deleted entry);3.6.3.14 (Transferred entry: 7.1.2.2)	
Tb927.6.500	gene related to expression site-associated gene 2 (GRESAG2), putative	protein coding gene	Tb927.6.500	0	N/A	N/A	
Tb927.6.5000	Protein of unknown function (DUF773), putative	protein coding gene	Tb927.6.5000	0	N/A	N/A	
Tb927.6.5010	hypothetical protein, conserved	protein coding gene	Tb927.6.5010	0	N/A	N/A	
Tb927.6.5020	cyclin 7, putative	protein coding gene	Tb927.6.5020	0	N/A	N/A	
Tb927.6.5030	Component of motile flagella protein 46	protein coding gene	Tb927.6.5030	0	N/A	N/A	
Tb927.6.5040	ribosomal protein L15, putative	protein coding gene	Tb927.6.5040	0	N/A	N/A	
Tb927.6.5050	V-type ATPase, C subunit, putative	protein coding gene	Tb927.6.5050	5	3.6.3.14 (Transferred entry: 7.1.2.2)	3.6.3.14 (Transferred entry: 7.1.2.2)	
Tb927.6.5060	hypothetical protein, conserved	protein coding gene	Tb927.6.5060	0	N/A	N/A	
Tb927.6.5070	hypothetical protein, conserved	protein coding gene	Tb927.6.5070	0	N/A	N/A	
Tb927.6.5080	Protein of unknown function (DUF3808), putative	protein coding gene	Tb927.6.5080	1	N/A	N/A	
Tb927.6.5090	hypothetical protein, conserved	protein coding gene	Tb927.6.5090	9	N/A	N/A	
Tb927.6.510	GPEET procyclin	protein coding gene	Tb927.6.510	1	N/A	N/A	
Tb927.6.5100	polo-like protein kinase, putative	protein coding gene	Tb927.6.5100	0	2.7.11.21 (Polo kinase)	2.7.11.1 (Non-specific serine/threonine protein kinase);2.7.11.21 (Polo kinase)	
Tb927.6.5110	damage-specific DNA binding protein, putative	protein coding gene	Tb927.6.5110	0	N/A	N/A	
Tb927.6.5120	60S acidic ribosomal protein P2, putative	protein coding gene	Tb927.6.5120	0	N/A	2.3.1.94 (6-deoxyerythronolide-B synthase);4.2.99.18 (DNA-(apurinic or apyrimidinic site) lyase)	
Tb927.6.5130	60S acidic ribosomal protein P2, putative	protein coding gene	Tb927.6.5130	0	N/A	2.3.1.94 (6-deoxyerythronolide-B synthase);4.2.99.18 (DNA-(apurinic or apyrimidinic site) lyase)	
Tb927.6.5140	ribosomal P protein AGP2beta-1, putative	protein coding gene	Tb927.6.5140	0	N/A	N/A	
